CID,CityName/AreaName,Pincode,District,State,Locality,Location,Latitude,Longitude,distance(in kms)
101507,Guindy North,600015,Chennai,TAMIL NADU,"Guindy North,600015,Chennai,TAMIL NADU","North Road, Saidapet, Chennai, Tamil Nadu, 600015",13.028360029230065,80.22754508081243,11.919599703727492
101508,Saidapet (Chennai),600015,Chennai,TAMIL NADU,"Saidapet (Chennai),600015,Chennai,TAMIL NADU","600015, Saidapet, Chennai, Tamil Nadu",13.020510254447448,80.22349202410636,11.1793033341398
101509,Alandur(Reopened W.E.F.6.6.05),600016,Kanchipuram,TAMIL NADU,"Alandur(Reopened W.E.F.6.6.05),600016,Kanchipuram,TAMIL NADU","600016, Mameenampaakkam, Sasennai, Kaanjchipuram, Thamiznaatu",12.98207908652391,80.154019090905,12.346120488069934
101510,Chennai Airport,600016,Kanchipuram,TAMIL NADU,"Chennai Airport,600016,Kanchipuram,TAMIL NADU","Chennai International Airport, Meenambakkam, Chennai, Kancheepuram, Tamil Nadu",12.998260000000073,80.18089000000003,11.244774150275239
101511,Meenambakkam,600016,Kanchipuram,TAMIL NADU,"Meenambakkam,600016,Kanchipuram,TAMIL NADU","600016, Meenambakkam, Chennai, Kancheepuram, Tamil Nadu",12.98207908652391,80.154019090905,12.346120488069934
101512,St.Thomas Mount,600016,Kanchipuram,TAMIL NADU,"St.Thomas Mount,600016,Kanchipuram,TAMIL NADU","600016, ST.Thomas Mount, Chennai, Tamil Nadu",13.006268995530295,80.1923616269567,11.167554863033336
101513,Hindi Prachar Sabha,600017,Chennai,TAMIL NADU,"Hindi Prachar Sabha,600017,Chennai,TAMIL NADU","Hindi Prachara Sabha Street, T Nagar, Chennai, Tamil Nadu, 600017",13.033720046763179,80.2391701099645,12.310342981511754
101514,Thygarayanagar,600017,Chennai,TAMIL NADU,"Thygarayanagar,600017,Chennai,TAMIL NADU","600017, Thyagaraya Nagar, T Nagar, Chennai, Tamil Nadu",13.04286826729034,80.2410235772682,13.300552591572151
101515,Thygarayanagar North ND,600017,Chennai,TAMIL NADU,"Thygarayanagar North ND,600017,Chennai,TAMIL NADU","Thyagaraya Nagar, Chennai, Tamil Nadu",13.052310000000034,80.25095000000005,14.304904425732737
101516,Thygarayanagar South ND,600017,Chennai,TAMIL NADU,"Thygarayanagar South ND,600017,Chennai,TAMIL NADU","Thyagaraya Nagar, Chennai, Tamil Nadu",13.052310000000034,80.25095000000005,14.304904425732737
101517,Pr. Accountant General,600018,Chennai,TAMIL NADU,"Pr. Accountant General,600018,Chennai,TAMIL NADU",Accountant General,13.04460000000006,80.24804000000006,13.454643025107217
101518,Teynampet,600018,Chennai,TAMIL NADU,"Teynampet,600018,Chennai,TAMIL NADU","600018, Teynampet, Alwarpet, Chennai, Tamil Nadu",13.038670000000025,80.25424000000004,12.802079285379612
101524,Adyar (Chennai),600020,Chennai,TAMIL NADU,"Adyar (Chennai),600020,Chennai,TAMIL NADU","600020, Adyar, Chennai, Tamil Nadu",13.00329807450622,80.25655503997938,8.906439824374337
101525,Kasturibai Nagar,600020,Chennai,TAMIL NADU,"Kasturibai Nagar,600020,Chennai,TAMIL NADU","Kasturibai Nagar, Adyar, Chennai, Tamil Nadu",13.002560000000074,80.24897000000004,8.8026419890863
101526,Shastri Nagar (Chennai),600020,Chennai,TAMIL NADU,"Shastri Nagar (Chennai),600020,Chennai,TAMIL NADU","Sastri Nagar, Adyar, Chennai, Tamil Nadu",12.99884000000003,80.25955000000005,8.44599503103511
101527,Washermanpet East,600021,Chennai,TAMIL NADU,"Washermanpet East,600021,Chennai,TAMIL NADU","Washermanpet, Chennai, Tamil Nadu",13.109500000000025,80.28701000000007,21.007407966601928
101528,Washermanpet,600021,Chennai,TAMIL NADU,"Washermanpet,600021,Chennai,TAMIL NADU","600021, Washermanpet, Chennai, Tamil Nadu",13.109794407538756,80.28753459477976,21.050167203230732
101529,Rajbhavan (Chennai),600022,Chennai,TAMIL NADU,"Rajbhavan (Chennai),600022,Chennai,TAMIL NADU",600022,13.008360000000039,80.22372660900004,9.881104245374518
