Village/Locality name,Officename ( BO/SO/HO),Pincode,Sub-distname,Districtname,StateName,dis from A
Nadupattu,R.N.Kandigai B.O,603403,Uthiramerur,KANCHIPURAM,TAMIL NADU,67.61586929585839
Punganandal,Thandarai B.O,603403,Uthiramerur,KANCHIPURAM,TAMIL NADU,67.61586929585839
Thandarai,Thandarai B.O,603403,Kancheepuram,KANCHIPURAM,TAMIL NADU,67.61586929585839
Serpakkam,Thandarai B.O,603403,Uthiramerur,KANCHIPURAM,TAMIL NADU,67.61586929585839
Thazambedu,Sogandi B.O,603405,Tirukalukundram,KANCHIPURAM,TAMIL NADU,43.63772729082774
Thimmur,Vallipuram B.O,603405,Tirukalukundram,KANCHIPURAM,TAMIL NADU,43.63772729082774
Venbakkam,Anur B.O,603405,Tirukalukundram,KANCHIPURAM,TAMIL NADU,43.63772729082774
Adavilagam,Sogandi B.O,603405,Tirukalukundram,KANCHIPURAM,TAMIL NADU,43.63772729082774
Korappattu,Anur B.O,603405,Tirukalukundram,KANCHIPURAM,TAMIL NADU,43.63772729082774
Ponpathirkoodam,Ponpathirkoodam B.O,603405,Tirukalukundram,KANCHIPURAM,TAMIL NADU,43.63772729082774
Salur RF,Salur B.O,603405,Tirukalukundram,KANCHIPURAM,TAMIL NADU,43.63772729082774
Veerakuppam,Ponpathirkoodam B.O,603405,Tirukalukundram,KANCHIPURAM,TAMIL NADU,43.63772729082774
Anoor,Anur B.O,603405,Tirukalukundram,KANCHIPURAM,TAMIL NADU,43.63772729082774
Othivakkam R.F,Ponvilainthakalathur S.O,603405,Chengalpattu,KANCHIPURAM,TAMIL NADU,43.63772729082774
Vallipuram,Vallipuram B.O,603405,Tirukalukundram,KANCHIPURAM,TAMIL NADU,43.63772729082774
Othivakkam,Ponvilainthakalathur S.O,603405,Tirukalukundram,KANCHIPURAM,TAMIL NADU,43.63772729082774
Punnapattu,Ponvilainthakalathur S.O,603405,Tirukalukundram,KANCHIPURAM,TAMIL NADU,43.63772729082774
Udayambakkam,Ponvilainthakalathur S.O,603405,Tirukalukundram,KANCHIPURAM,TAMIL NADU,43.63772729082774
Elumichampattu,Anur B.O,603405,Tirukalukundram,KANCHIPURAM,TAMIL NADU,43.63772729082774
Kankeyamkuppam,Sogandi B.O,603405,Tirukalukundram,KANCHIPURAM,TAMIL NADU,43.63772729082774
Moosivakkam,Sogandi B.O,603405,Maduranthakam,KANCHIPURAM,TAMIL NADU,43.63772729082774
P.V.Kalathur,Ponvilainthakalathur S.O,603405,Tirukalukundram,KANCHIPURAM,TAMIL NADU,43.63772729082774
Salur,Salur B.O,603405,Tirukalukundram,KANCHIPURAM,TAMIL NADU,43.63772729082774
Sogandy,Sogandi B.O,603405,Tirukalukundram,KANCHIPURAM,TAMIL NADU,43.63772729082774
Mambakkam,Salur B.O,603405,Tirukalukundram,KANCHIPURAM,TAMIL NADU,43.63772729082774
Alapakkam,Agaramduli B.O,603406,Kancheepuram,KANCHIPURAM,TAMIL NADU,58.409428312556976
Ladakaranai,L.Endathur B.O,603406,Maduranthakam,KANCHIPURAM,TAMIL NADU,58.409428312556976
Uthiramerur,Uttiramerur S.O,603406,Uthiramerur,KANCHIPURAM,TAMIL NADU,58.409428312556976
Vaippanai,Tittalam B.O,603406,Maduranthakam,KANCHIPURAM,TAMIL NADU,58.409428312556976
Kozhiyalam,Tittalam B.O,603406,Maduranthakam,KANCHIPURAM,TAMIL NADU,58.409428312556976
Marudham,Tirupulivanam B.O,603406,Uthiramerur,KANCHIPURAM,TAMIL NADU,58.409428312556976
Sirungoli,Sirungoli B.O,603406,Uthiramerur,KANCHIPURAM,TAMIL NADU,58.409428312556976
Thriupulivanam,Tirupulivanam B.O,603406,Uthiramerur,KANCHIPURAM,TAMIL NADU,58.409428312556976
Athyurmelduli,Agaramduli B.O,603406,Uthiramerur,KANCHIPURAM,TAMIL NADU,58.409428312556976
Kozhiyalam,Uttiramerur S.O,603406,Maduranthakam,KANCHIPURAM,TAMIL NADU,58.409428312556976
Puliyur,Kavanur Pudhucheri B.O,603406,Uthiramerur,KANCHIPURAM,TAMIL NADU,58.409428312556976
Kadalmangalam,Malliyankaranai B.O,603406,Uthiramerur,KANCHIPURAM,TAMIL NADU,58.409428312556976
Kariamangalam,Kavanur Pudhucheri B.O,603406,Uthiramerur,KANCHIPURAM,TAMIL NADU,58.409428312556976
Malliyankaranai,Malliyankaranai B.O,603406,Uthiramerur,KANCHIPURAM,TAMIL NADU,58.409428312556976
Maruthuvambadi,Maruthuvambadi B.O,603406,Uthiramerur,KANCHIPURAM,TAMIL NADU,58.409428312556976
Nanjeepuram,Kavanur Pudhucheri B.O,603406,Uthiramerur,KANCHIPURAM,TAMIL NADU,58.409428312556976
Theetalam,Tittalam B.O,603406,Maduranthakam,KANCHIPURAM,TAMIL NADU,58.409428312556976
Kavanurpuducheri,Kavanur Pudhucheri B.O,603406,Uthiramerur,KANCHIPURAM,TAMIL NADU,58.409428312556976
Kiliyanagar,Kiliyanagar B.O,603406,Maduranthakam,KANCHIPURAM,TAMIL NADU,58.409428312556976
Pambayambattu,Tittalam B.O,603406,Maduranthakam,KANCHIPURAM,TAMIL NADU,58.409428312556976
Pasuvankaranai,L.Endathur B.O,603406,Maduranthakam,KANCHIPURAM,TAMIL NADU,58.409428312556976
Kammalampoondi,Kammalampoondi B.O,603406,Uthiramerur,KANCHIPURAM,TAMIL NADU,58.409428312556976
Thalavarampoondi,Sirungoli B.O,603406,Uthiramerur,KANCHIPURAM,TAMIL NADU,58.409428312556976
Uthiramerur,Vadanallur B.O,603406,Uthiramerur,KANCHIPURAM,TAMIL NADU,58.409428312556976
Agaramduli,Agaramduli B.O,603406,Uthiramerur,KANCHIPURAM,TAMIL NADU,58.409428312556976
L.Endathur,L.Endathur B.O,603406,Maduranthakam,KANCHIPURAM,TAMIL NADU,58.409428312556976
Semppondi,L.Endathur B.O,603406,Maduranthakam,KANCHIPURAM,TAMIL NADU,58.409428312556976
Thandalam,Elangadu B.O,604408,Kancheepuram,KANCHIPURAM,TAMIL NADU,90.92314955980719
Agaram,Kothakuppam B.O,631202,Kancheepuram,KANCHIPURAM,TAMIL NADU,89.24147298726436
Mambakkam,Mambakkam B.O,631205,Sriperumbudur,KANCHIPURAM,TAMIL NADU,80.33037188227301
Kancheepuram,Kanchipuram Cutchery S.O,631501,Kancheepuram,KANCHIPURAM,TAMIL NADU,69.66556102273435
Kancheepuram,Tirukachinambi Street S.O,631501,Kancheepuram,KANCHIPURAM,TAMIL NADU,69.66556102273435
Kancheepuram,Kanchipuram Collectorate S.O,631501,Kancheepuram,KANCHIPURAM,TAMIL NADU,69.66556102273435
Kancheepuram,Little Kanchipuram S.O,631501,Kancheepuram,KANCHIPURAM,TAMIL NADU,69.66556102273435
Kancheepuram,Kanchipuram H.O,631501,Kancheepuram,KANCHIPURAM,TAMIL NADU,69.66556102273435
Kancheepuram,Thoopul S.O,631501,Kancheepuram,KANCHIPURAM,TAMIL NADU,69.66556102273435
Kancheepuram,Pillayarpalayam S.O,631501,Kancheepuram,KANCHIPURAM,TAMIL NADU,69.66556102273435
Arappanacheri,Big Kanchipuram S.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Chinnaiyankulam,Orikkai B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Kammavarpalayam,Kammavarpalayam B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Kancheepuram,Olimohamedpet B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Kolivakkam,Ayyankarkulam B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Kuram,Kuram B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Melkadirpoor,Melkadirpur B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Netteri,Sirukaveripakkam B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Velinkapattadai,Orikkai B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Achukattu,Sirukaveripakkam B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Kancheepuram,Big Kanchipuram S.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Konerikuppam,Big Kanchipuram S.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Padunelli,Kammavarpalayam B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Punjarasanthangal,Ayyankarkulam B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Vathiyur,Kuram B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Veliyur,Veliyur B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Kalakattur,Kilakattur B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Kalur,Kilakattur B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Mettukuppam,Melkadirpur B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Narapakkam,Melkadirpur B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Periyakarambur,Veliyur B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Sevilimedu,Sevilimedu B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Thulukkanthandalam,Thimamsamudram B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Valathottam,Ayyankarkulam B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Iyangarkulam,Ayyankarkulam B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Kamugampallam,Ayyankarkulam B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Kilkadirpoor,Melkadirpur B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Pudupakkam,Veliyur B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Govindavadi,Govindavadi B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Kuruvimalai,Kilakattur B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Olakkalpattu,Kuram B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Thimmasamudram,Thimamsamudram B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Vishar,Melkadirpur B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Sadathangal,Melkadirpur B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Vippedu,Melkadirpur B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Chitterimedu,Veliyur B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Kancheepuram,Sankaramutt S.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Kottakkaval,Orikkai B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Orikkai,Orikkai B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Putheri,Big Kanchipuram S.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Uveri,Veliyur B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Vitchanthangal,Kilakattur B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Alavandarmedu,Melkadirpur B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Perumanallur,Perumanallur B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Sirukaveripakkam,Sirukaveripakkam B.O,631502,Kancheepuram,KANCHIPURAM,TAMIL NADU,57.68263226028964
Kilambi,Balchettychatram S.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Perumbakkam,Balchettychatram S.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Damal,Damal B.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Thaipakkam,Balchettychatram S.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Ariyaperumbakkam,Krishnapuram B.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Damal,Balchettychatram S.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Melbangaram,Balchettychatram S.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Thiruppukuzhi,Balchettychatram S.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Baluchettychatram,Balchettychatram S.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Melambi,Krishnapuram B.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Muthavedu,Balchettychatram S.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Ariyaperumbakkam,Balchettychatram S.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Melottivakkam,Musaravakkam B.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Pitchavadi,Muthavedu B.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Kilambi,Krishnapuram B.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Kilar,Damal B.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Agaram,Krishnapuram B.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Musaravakkam,Balchettychatram S.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Musaravakkam,Musaravakkam B.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Muttavakkam,Balchettychatram S.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Sirunaiperugal,Balchettychatram S.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Thalaiyillaperumbakkam,Balchettychatram S.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Kilar,Balchettychatram S.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Muthavedu,Muthavedu B.O,631551,Kancheepuram,KANCHIPURAM,TAMIL NADU,64.17068608853165
Semanthangal,Parandur B.O,631552,Kancheepuram,KANCHIPURAM,TAMIL NADU,54.715197900800916
Madapuram,Parandur B.O,631552,Kancheepuram,KANCHIPURAM,TAMIL NADU,54.715197900800916
Siruvallur,Siruvallur B.O,631552,Kancheepuram,KANCHIPURAM,TAMIL NADU,54.715197900800916
Pondavakkam,Parandur B.O,631552,Kancheepuram,KANCHIPURAM,TAMIL NADU,54.715197900800916
Vishakandikuppam,Siruvakkam B.O,631552,Kancheepuram,KANCHIPURAM,TAMIL NADU,54.715197900800916
Pandavakkam,Parandur B.O,631552,Uthiramerur,KANCHIPURAM,TAMIL NADU,54.715197900800916
Sembarambakkam,Karai B.O,631552,Kancheepuram,KANCHIPURAM,TAMIL NADU,54.715197900800916
Karai,Karai B.O,631552,Kancheepuram,KANCHIPURAM,TAMIL NADU,54.715197900800916
Karaipettai,Karaipettai S.O,631552,Kancheepuram,KANCHIPURAM,TAMIL NADU,54.715197900800916
Kattavakkam,Parandur B.O,631552,Kancheepuram,KANCHIPURAM,TAMIL NADU,54.715197900800916
Kottavakkam,Parandur B.O,631552,Kancheepuram,KANCHIPURAM,TAMIL NADU,54.715197900800916
Poondithangal,Siruvallur B.O,631552,Kancheepuram,KANCHIPURAM,TAMIL NADU,54.715197900800916
Seeyati,Karai B.O,631552,Kancheepuram,KANCHIPURAM,TAMIL NADU,54.715197900800916
Injambakkam,Karai B.O,631552,Kancheepuram,KANCHIPURAM,TAMIL NADU,54.715197900800916
Parandur,Parandur B.O,631552,Kancheepuram,KANCHIPURAM,TAMIL NADU,54.715197900800916
Kanakambakkam,Parandur B.O,631552,Kancheepuram,KANCHIPURAM,TAMIL NADU,54.715197900800916
Murukkanthangal,Karai B.O,631552,Kancheepuram,KANCHIPURAM,TAMIL NADU,54.715197900800916
Siruvakkam,Siruvakkam B.O,631552,Kancheepuram,KANCHIPURAM,TAMIL NADU,54.715197900800916
Sivapuram,Kappankottur B.O,631553,Sriperumbudur,KANCHIPURAM,TAMIL NADU,58.123674386498976
Chellampattidai,Chellampattidai B.O,631553,Sriperumbudur,KANCHIPURAM,TAMIL NADU,58.123674386498976
Kallipattu,Melmaduramangalam B.O,631553,Kancheepuram,KANCHIPURAM,TAMIL NADU,58.123674386498976
Kappankottur,Kappankottur B.O,631553,Sriperumbudur,KANCHIPURAM,TAMIL NADU,58.123674386498976
Koothavakkam,Edayarpakkam S.O,631553,Sriperumbudur,KANCHIPURAM,TAMIL NADU,58.123674386498976
Kottur,Chellampattidai B.O,631553,Sriperumbudur,KANCHIPURAM,TAMIL NADU,58.123674386498976
Pichivakkam,Pichivakkam B.O,631553,Sriperumbudur,KANCHIPURAM,TAMIL NADU,58.123674386498976
Purisai,Purisai B.O,631553,Kancheepuram,KANCHIPURAM,TAMIL NADU,58.123674386498976
Akkamapuram,Ekanapuram B.O,631553,Sriperumbudur,KANCHIPURAM,TAMIL NADU,58.123674386498976
Elimiyankottur,Kappankottur B.O,631553,Sriperumbudur,KANCHIPURAM,TAMIL NADU,58.123674386498976
Melmaduramangalam,Melmaduramangalam B.O,631553,Sriperumbudur,KANCHIPURAM,TAMIL NADU,58.123674386498976
O.M.Mangalam,Kappankottur B.O,631553,Sriperumbudur,KANCHIPURAM,TAMIL NADU,58.123674386498976
Pullalur,Pullalur B.O,631553,Kancheepuram,KANCHIPURAM,TAMIL NADU,58.123674386498976
Ramanujapuram,Melmaduramangalam B.O,631553,Sriperumbudur,KANCHIPURAM,TAMIL NADU,58.123674386498976
Valathur,Valathur B.O,631553,Kancheepuram,KANCHIPURAM,TAMIL NADU,58.123674386498976
Gunagarambakkam,Chellampattidai B.O,631553,Sriperumbudur,KANCHIPURAM,TAMIL NADU,58.123674386498976
Kodamanallur,Melmaduramangalam B.O,631553,Sriperumbudur,KANCHIPURAM,TAMIL NADU,58.123674386498976
Maniyachi,Pullalur B.O,631553,Kancheepuram,KANCHIPURAM,TAMIL NADU,58.123674386498976
Nelvoy,Ekanapuram B.O,631553,Kancheepuram,KANCHIPURAM,TAMIL NADU,58.123674386498976
Singilipadi,Melmaduramangalam B.O,631553,Sriperumbudur,KANCHIPURAM,TAMIL NADU,58.123674386498976
Edayarpakkam,Edayarpakkam S.O,631553,Sriperumbudur,KANCHIPURAM,TAMIL NADU,58.123674386498976
Koothavakkam,Melmaduramangalam B.O,631553,Sriperumbudur,KANCHIPURAM,TAMIL NADU,58.123674386498976
Kandivakkam,Edayarpakkam S.O,631553,Sriperumbudur,KANCHIPURAM,TAMIL NADU,58.123674386498976
Kondavakkam,Edayarpakkam S.O,631553,Sriperumbudur,KANCHIPURAM,TAMIL NADU,58.123674386498976
Perumbakkam,Valathur B.O,631553,Kancheepuram,KANCHIPURAM,TAMIL NADU,58.123674386498976
Thandalam,Valathur B.O,631553,Kancheepuram,KANCHIPURAM,TAMIL NADU,58.123674386498976
Thulasapuram,Edayarpakkam S.O,631553,Sriperumbudur,KANCHIPURAM,TAMIL NADU,58.123674386498976
Ekanapuram,Ekanapuram B.O,631553,Sriperumbudur,KANCHIPURAM,TAMIL NADU,58.123674386498976
Mahadevimangalam,Chellampattidai B.O,631553,Sriperumbudur,KANCHIPURAM,TAMIL NADU,58.123674386498976
Moolapattu,Pullalur B.O,631553,Kancheepuram,KANCHIPURAM,TAMIL NADU,58.123674386498976
Alapakkam,Attuputhur B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Ariyambakkam,Nirvalur B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Mangalpadi,Vedal B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Siruvedal,Attuputhur B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Sittiyambakkam,Rajakulam B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Suramenikuppam,Attuputhur B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Thodur,Nirvalur B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Enadur,Enathur S.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Marutham,Singadivakkam B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Neervalur,Nirvalur B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Singadivakkam,Singadivakkam B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Thirumalpattu,Attuputhur B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Sekkankulam,Rajakulam B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Vadaveripattu,Singadivakkam B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Jambodai,Nirvalur B.O,631561,Sriperumbudur,KANCHIPURAM,TAMIL NADU,50.08561152572615
Nallur,Vaiyavur B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Vaiyavur,Vaiyavur B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Athivakkam,Attuputhur B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Attuputhur,Attuputhur B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Kaliyanur,Vaiyavur B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Olaiyur,Vaiyavur B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Tirumalpadithangal,Rajakulam B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Vedal,Enathur S.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Illuppapattu,Rajakulam B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Karur,Rajakulam B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Kuthirambakkam,Enathur S.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Nallur R.F.,Vaiyavur B.O,631561,Sriperumbudur,KANCHIPURAM,TAMIL NADU,50.08561152572615
Nummappattu,Vedal B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Puthagaram,Singadivakkam B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Rajakulam,Rajakulam B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Vedal,Vedal B.O,631561,Kancheepuram,KANCHIPURAM,TAMIL NADU,50.08561152572615
Seeyamangalam,Thimmarajampettai B.O,631601,Kancheepuram,KANCHIPURAM,TAMIL NADU,41.97734838764629
Ayyampettai,Ayyampettai S.O,631601,Kancheepuram,KANCHIPURAM,TAMIL NADU,41.97734838764629
Thimmaiyanpettai,Thimmarajampettai B.O,631601,Kancheepuram,KANCHIPURAM,TAMIL NADU,41.97734838764629
Thimmarajampettai,Thimmarajampettai B.O,631601,Kancheepuram,KANCHIPURAM,TAMIL NADU,41.97734838764629
Poosivakkam,Ekanampet B.O,631601,Kancheepuram,KANCHIPURAM,TAMIL NADU,41.97734838764629
Ekanampettai,Ekanampet B.O,631601,Kancheepuram,KANCHIPURAM,TAMIL NADU,41.97734838764629
Karuppadithattadai,Ayyampettai S.O,631601,Kancheepuram,KANCHIPURAM,TAMIL NADU,41.97734838764629
Valluvapakkam,Ayyampettai S.O,631601,Kancheepuram,KANCHIPURAM,TAMIL NADU,41.97734838764629
Thenambakkam,Thenambakkam B.O,631601,Kancheepuram,KANCHIPURAM,TAMIL NADU,41.97734838764629
Villivalam,Ayyampettai S.O,631601,Kancheepuram,KANCHIPURAM,TAMIL NADU,41.97734838764629
Athipattu,Ekanampet B.O,631601,Kancheepuram,KANCHIPURAM,TAMIL NADU,41.97734838764629
Bavasahibpettai,Ekanampet B.O,631601,Kancheepuram,KANCHIPURAM,TAMIL NADU,41.97734838764629
Erivoy,Naickenpet B.O,631601,Kancheepuram,KANCHIPURAM,TAMIL NADU,41.97734838764629
Koyambakkam,Ayyampettai S.O,631601,Kancheepuram,KANCHIPURAM,TAMIL NADU,41.97734838764629
Muthialpettai,Muthialpet B.O,631601,Kancheepuram,KANCHIPURAM,TAMIL NADU,41.97734838764629
Padappam,Ayyampettai S.O,631601,Kancheepuram,KANCHIPURAM,TAMIL NADU,41.97734838764629
Kilottivakkam,Thimmarajampettai B.O,631601,Kancheepuram,KANCHIPURAM,TAMIL NADU,41.97734838764629
Naickenpettai,Naickenpet B.O,631601,Kancheepuram,KANCHIPURAM,TAMIL NADU,41.97734838764629
Thangi,Naickenpet B.O,631601,Kancheepuram,KANCHIPURAM,TAMIL NADU,41.97734838764629
Adavapakkam,Magaral S.O,631603,Uthiramerur,KANCHIPURAM,TAMIL NADU,51.62348511609346
Chithaathur,Kavanthandalam B.O,631603,Kancheepuram,KANCHIPURAM,TAMIL NADU,51.62348511609346
Karuveppampoondi,Olugarai B.O,631603,Uthiramerur,KANCHIPURAM,TAMIL NADU,51.62348511609346
Neyyadivakkam,Neyyadupakkam B.O,631603,Uthiramerur,KANCHIPURAM,TAMIL NADU,51.62348511609346
Pullampakkam,Vayalakkavur B.O,631603,Uthiramerur,KANCHIPURAM,TAMIL NADU,51.62348511609346
Puthali,Puthali B.O,631603,Uthiramerur,KANCHIPURAM,TAMIL NADU,51.62348511609346
Nariyambudur,Malayankulam B.O,631603,Uthiramerur,KANCHIPURAM,TAMIL NADU,51.62348511609346
Pullambakkam,Vayalakkavur B.O,631603,Kancheepuram,KANCHIPURAM,TAMIL NADU,51.62348511609346
Sirukalathur,Puthali B.O,631603,Sriperumbudur,KANCHIPURAM,TAMIL NADU,51.62348511609346
Arpakkam,Arpakkam B.O,631603,Kancheepuram,KANCHIPURAM,TAMIL NADU,51.62348511609346
Silambakkam,Olugarai B.O,631603,Uthiramerur,KANCHIPURAM,TAMIL NADU,51.62348511609346
Vengacheri,Magaral S.O,631603,Uthiramerur,KANCHIPURAM,TAMIL NADU,51.62348511609346
Kavampair,Neyyadupakkam B.O,631603,Uthiramerur,KANCHIPURAM,TAMIL NADU,51.62348511609346
Irumaram,Neyyadupakkam B.O,631603,Uthiramerur,KANCHIPURAM,TAMIL NADU,51.62348511609346
Vengaram,Olugarai B.O,631603,Uthiramerur,KANCHIPURAM,TAMIL NADU,51.62348511609346
Elayanarvelur,Kavanthandalam B.O,631603,Kancheepuram,KANCHIPURAM,TAMIL NADU,51.62348511609346
Kavanthandalam,Kavanthandalam B.O,631603,Kancheepuram,KANCHIPURAM,TAMIL NADU,51.62348511609346
Sembulam,Neyyadupakkam B.O,631603,Uthiramerur,KANCHIPURAM,TAMIL NADU,51.62348511609346
