CID,CityName/AreaName,Pincode,District,State,Latitude,Longitude,distance(in kms)
102016,Kottamedu,603108,Kanchipuram,TAMIL NADU,12.740756034851074,80.11263275146483,27.916615305318018
102017,Madayathur,603108,Kanchipuram,TAMIL NADU,12.740756034851074,80.11263275146483,27.916615305318018
102018,Melaiyur,603108,Kanchipuram,TAMIL NADU,12.740756034851074,80.11263275146483,27.916615305318018
102019,Nellikuppam,603108,Kanchipuram,TAMIL NADU,12.740756034851074,80.11263275146483,27.916615305318018
102020,Sembakkam,603108,Kanchipuram,TAMIL NADU,12.740756034851074,80.11263275146483,27.916615305318018
102021,Senneri,603108,Kanchipuram,TAMIL NADU,12.740756034851074,80.11263275146483,27.916615305318018
102022,Sirunkundram,603108,Kanchipuram,TAMIL NADU,12.740756034851074,80.11263275146483,27.916615305318018
102023,Ammanambakkam,603109,Kanchipuram,TAMIL NADU,12.609179496765135,80.06027984619139,43.313395868538684
102024,Desumugipettai,603109,Kanchipuram,TAMIL NADU,12.609179496765135,80.06027984619139,43.313395868538684
102025,Edaiyur,603109,Kanchipuram,TAMIL NADU,12.609179496765135,80.06027984619139,43.313395868538684
102026,Irumbulichery,603109,Kanchipuram,TAMIL NADU,12.609179496765135,80.06027984619139,43.313395868538684
102027,Mullikolathur,603109,Kanchipuram,TAMIL NADU,12.609179496765135,80.06027984619139,43.313395868538684
102028,Oragadam,603109,Kanchipuram,TAMIL NADU,12.609179496765135,80.06027984619139,43.313395868538684
102029,Pandur,603109,Kanchipuram,TAMIL NADU,12.609179496765135,80.06027984619139,43.313395868538684
102030,Puliyur,603109,Kanchipuram,TAMIL NADU,12.609179496765135,80.06027984619139,43.313395868538684
102031,Thathalur,603109,Kanchipuram,TAMIL NADU,12.609179496765135,80.06027984619139,43.313395868538684
102032,Tirukalikundram Bazaar,603109,Kanchipuram,TAMIL NADU,12.609179496765135,80.06027984619139,43.313395868538684
102033,Tirukalikundram,603109,Kanchipuram,TAMIL NADU,12.609179496765135,80.06027984619139,43.313395868538684
102034,Veerapuram,603109,Kanchipuram,TAMIL NADU,12.609179496765135,80.06027984619139,43.313395868538684
102035,Alathur Industrial Estate,603110,Kanchipuram,TAMIL NADU,12.71689224243164,80.08871459960938,31.56130125469245
102036,Illalur,603110,Kanchipuram,TAMIL NADU,12.71689224243164,80.08871459960938,31.56130125469245
102037,Kayar,603110,Kanchipuram,TAMIL NADU,12.71689224243164,80.08871459960938,31.56130125469245
102038,Tiruporur,603110,Kanchipuram,TAMIL NADU,12.71689224243164,80.08871459960938,31.56130125469245
102039,Venbedu,603110,Kanchipuram,TAMIL NADU,12.71689224243164,80.08871459960938,31.56130125469245
102040,Mamandur,603111,Kanchipuram,TAMIL NADU,12.695292472839355,79.8957290649414,48.18411395202386
102041,Manapakkam,603111,Kanchipuram,TAMIL NADU,12.695292472839355,79.8957290649414,48.18411395202386
102042,Meyyur,603111,Kanchipuram,TAMIL NADU,12.695292472839355,79.8957290649414,48.18411395202386
102043,Ozhalur,603111,Kanchipuram,TAMIL NADU,12.695292472839355,79.8957290649414,48.18411395202386
102044,Pazhamathur,603111,Kanchipuram,TAMIL NADU,12.695292472839355,79.8957290649414,48.18411395202386
